Date,Close
2021-06-02,39.20000076293945
2021-06-03,38.79999923706055
2021-06-04,39.349998474121094
2021-06-07,39.29999923706055
2021-06-08,39.70000076293945
2021-06-09,39.0
2021-06-10,39.150001525878906
2021-06-11,39.0
2021-06-14,38.70000076293945
2021-06-15,38.849998474121094
2021-06-16,38.75
2021-06-17,38.349998474121094
2021-06-18,37.5
2021-06-21,38.5
2021-06-22,38.599998474121094
2021-06-23,39.400001525878906
2021-06-24,38.79999923706055
2021-06-25,38.400001525878906
2021-06-28,38.349998474121094
2021-06-29,38.25
2021-06-30,37.900001525878906
2021-07-01,37.75
2021-07-02,38.25
2021-07-05,37.95000076293945
2021-07-06,37.70000076293945
2021-07-07,37.75
2021-07-08,37.599998474121094
2021-07-09,38.79999923706055
2021-07-12,38.75
2021-07-13,38.54999923706055
2021-07-14,38.20000076293945
2021-07-15,37.95000076293945
2021-07-16,37.79999923706055
2021-07-19,37.849998474121094
2021-07-20,37.400001525878906
2021-07-22,37.75
2021-07-23,37.45000076293945
2021-07-26,38.20000076293945
2021-07-27,38.0
2021-07-28,37.70000076293945
2021-07-29,37.79999923706055
2021-07-30,37.95000076293945
2021-08-02,37.79999923706055
2021-08-03,37.95000076293945
2021-08-04,37.70000076293945
2021-08-05,37.25
2021-08-06,37.54999923706055
2021-08-09,38.54999923706055
2021-08-10,37.54999923706055
2021-08-11,37.349998474121094
2021-08-12,38.150001525878906
2021-08-13,38.29999923706055
2021-08-16,38.099998474121094
2021-08-17,38.04999923706055
2021-08-18,37.599998474121094
2021-08-20,37.45000076293945
2021-08-23,36.75
2021-08-24,37.099998474121094
2021-08-25,37.79999923706055
2021-08-26,37.95000076293945
2021-08-27,38.5
2021-08-30,38.5
2021-08-31,38.5
2021-09-01,38.45000076293945
2021-09-02,38.70000076293945
2021-09-03,38.150001525878906
2021-09-06,38.400001525878906
2021-09-07,39.099998474121094
2021-09-08,38.54999923706055
2021-09-09,38.349998474121094
2021-09-13,39.349998474121094
2021-09-14,39.0
2021-09-15,39.25
2021-09-16,42.150001525878906
2021-09-17,39.150001525878906
2021-09-20,36.95000076293945
2021-09-21,39.150001525878906
2021-09-22,38.45000076293945
2021-09-23,38.95000076293945
2021-09-24,38.79999923706055
2021-09-27,41.25
2021-09-28,44.70000076293945
2021-09-29,44.95000076293945
2021-09-30,46.29999923706055
2021-10-01,49.95000076293945
2021-10-04,48.099998474121094
2021-10-05,47.150001525878906
2021-10-06,44.400001525878906
2021-10-07,44.95000076293945
2021-10-08,47.849998474121094
